Open,High,Low,Close,Adj Close,Volume
174.1999969482422,175.13999938964844,174.14999389648438,174.54879760742188,174.54879760742188,2745358
174.5500030517578,174.8300018310547,174.27000427246094,174.66000366210938,174.66000366210938,791395
174.66000366210938,174.94000244140625,174.61000061035156,174.61349487304688,174.61349487304688,851698
174.63499450683594,174.85000610351562,174.39999389648438,174.74000549316406,174.74000549316406,820131
174.72999572753906,175.0800018310547,174.67999267578125,174.94000244140625,174.94000244140625,716923
174.94000244140625,175.5050048828125,174.91000366210938,175.33999633789062,175.33999633789062,823741
175.35000610351562,175.5500030517578,175.0800018310547,175.1300048828125,175.1300048828125,716798
175.1199951171875,175.35940551757812,174.94000244140625,174.99009704589844,174.99009704589844,517396
174.97500610351562,175.14999389648438,174.9250030517578,175.07000732421875,175.07000732421875,529457
175.0500030517578,175.14990234375,174.75999450683594,174.77499389648438,174.77499389648438,617840
174.77999877929688,174.86000061035156,174.4199981689453,174.44000244140625,174.44000244140625,621552
174.4398956298828,174.57000732421875,174.2100067138672,174.47000122070312,174.47000122070312,595506
174.4600067138672,174.9199981689453,174.3699951171875,174.75990295410156,174.75990295410156,575155
174.75999450683594,174.92990112304688,174.66000366210938,174.860107421875,174.860107421875,478114
174.86500549316406,174.99000549316406,174.75999450683594,174.9499969482422,174.9499969482422,380917
174.9499969482422,175.21929931640625,174.9499969482422,175.02000427246094,175.02000427246094,499933
175.02999877929688,175.0970001220703,174.77000427246094,175.02999877929688,175.02999877929688,469080
175.0399932861328,175.0850067138672,174.8699951171875,174.8800048828125,174.8800048828125,426553
174.88999938964844,175.1699981689453,174.8699951171875,175.14999389648438,175.14999389648438,516899
175.14999389648438,175.77999877929688,175.13999938964844,175.7050018310547,175.7050018310547,673471
175.7050018310547,175.91000366210938,175.63999938964844,175.89830017089844,175.89830017089844,557116
175.89999389648438,176.33999633789062,175.86000061035156,176.27999877929688,176.27999877929688,890108
176.2899932861328,176.43609619140625,176.16000366210938,176.40499877929688,176.40499877929688,640516
176.40899658203125,176.5399932861328,176.2415008544922,176.27000427246094,176.27000427246094,581964
176.28799438476562,176.35000610351562,176.0800018310547,176.14999389648438,176.14999389648438,510932
176.16000366210938,176.25,176.11000061035156,176.13999938964844,176.13999938964844,302652
